,0
0,90.0
1,90.05050505050505
2,90.1010101010101
3,90.15151515151516
4,90.20202020202021
5,90.25252525252525
6,90.3030303030303
7,90.35353535353535
8,90.4040404040404
9,90.45454545454545
10,90.5050505050505
11,90.55555555555556
12,90.60606060606061
13,90.65656565656566
14,90.70707070707071
15,90.75757575757575
16,90.8080808080808
17,90.85858585858585
18,90.9090909090909
19,90.95959595959596
20,91.01010101010101
21,91.06060606060606
22,91.11111111111111
23,91.16161616161617
24,91.21212121212122
25,91.26262626262626
26,91.31313131313131
27,91.36363636363636
28,91.41414141414141
29,91.46464646464646
30,91.51515151515152
31,91.56565656565657
32,91.61616161616162
33,91.66666666666667
34,91.71717171717172
35,91.76767676767676
36,91.81818181818181
37,91.86868686868686
38,91.91919191919192
39,91.96969696969697
40,92.02020202020202
41,92.07070707070707
42,92.12121212121212
43,92.17171717171718
44,92.22222222222223
45,92.27272727272727
46,92.32323232323232
47,92.37373737373737
48,92.42424242424242
49,92.47474747474747
50,92.52525252525253
51,92.57575757575758
52,92.62626262626263
53,92.67676767676768
54,92.72727272727273
55,92.77777777777777
56,92.82828282828282
57,92.87878787878788
58,92.92929292929293
59,92.97979797979798
60,93.03030303030303
61,93.08080808080808
62,93.13131313131314
63,93.18181818181819
64,93.23232323232324
65,93.28282828282828
66,93.33333333333333
67,93.38383838383838
68,93.43434343434343
69,93.48484848484848
70,93.53535353535354
71,93.58585858585859
72,93.63636363636364
73,93.68686868686869
74,93.73737373737374
75,93.78787878787878
76,93.83838383838383
77,93.88888888888889
78,93.93939393939394
79,93.98989898989899
80,94.04040404040404
81,94.0909090909091
82,94.14141414141415
83,94.1919191919192
84,94.24242424242425
85,94.29292929292929
86,94.34343434343434
87,94.39393939393939
88,94.44444444444444
89,94.4949494949495
90,94.54545454545455
91,94.5959595959596
92,94.64646464646465
93,94.6969696969697
94,94.74747474747474
95,94.79797979797979
96,94.84848484848484
97,94.8989898989899
98,94.94949494949495
99,95.0
